0,1,2,3,4,5,6
Bread,Juice,Eggs,Meat,Cheese,Pencil,Diaper
Bread,Cheese,Meat,Diaper,Juice,Milk,Pencil
Cheese,Meat,Eggs,Milk,Juice,,
Cheese,Meat,Eggs,Milk,Juice,,
Meat,Pencil,Juice,,,,
Eggs,Bread,Juice,Pencil,Milk,Diaper,Bagel
Juice,Pencil,Eggs,Cheese,,,
Bagel,Bread,Milk,Pencil,Diaper,,
Bread,Diaper,Cheese,Milk,Juice,Eggs,
Bagel,Juice,Diaper,Meat,Pencil,Eggs,Cheese
Cheese,Meat,Eggs,Milk,Juice,,
Bagel,Eggs,Meat,Bread,Diaper,Juice,Milk
Bread,Diaper,Pencil,Bagel,Meat,,
Bagel,Cheese,Milk,Meat,,,
Bread,,,,,,
Pencil,Diaper,Bagel,,,,
Meat,Bagel,Bread,,,,
Bread,Bagel,Milk,,,,
Diaper,,,,,,
Bagel,Cheese,Meat,Bread,Diaper,Eggs,
Meat,Pencil,Cheese,Bread,,,
Cheese,Eggs,Juice,Bread,Milk,Pencil,Meat
Eggs,Bagel,Cheese,Meat,Diaper,,
Diaper,Juice,Eggs,Pencil,Meat,,
Diaper,Meat,Milk,Bread,Bagel,Cheese,
Pencil,,,,,,
Cheese,Meat,Eggs,Milk,Juice,,
Diaper,Meat,Bread,Pencil,Juice,Cheese,Milk
Bread,Bagel,,,,,
Meat,Bread,Eggs,Cheese,Milk,Diaper,
Diaper,Meat,,,,,
Cheese,Bagel,Bread,Diaper,Juice,,
Cheese,Milk,Bread,,,,
Bread,Bagel,Milk,,,,
Diaper,Bread,Juice,Meat,Bagel,,
Bread,Cheese,Milk,Juice,Diaper,,
Bread,Bagel,Milk,,,,
Bread,Bagel,Milk,,,,
Eggs,,,,,,
Bread,Bagel,Milk,,,,
Bread,Bagel,Milk,,,,
Meat,,,,,,
Eggs,Juice,Milk,Cheese,Pencil,Bagel,Bread
Bagel,Eggs,,,,,
Diaper,Juice,Meat,,,,
Diaper,Bread,Bagel,Eggs,Juice,Milk,Cheese
Cheese,Meat,Eggs,Milk,,,
Eggs,Juice,,,,,
Cheese,Meat,Eggs,Milk,Juice,,
Juice,Milk,,,,,
Diaper,,,,,,
Juice,Bread,Bagel,Diaper,Milk,,
Cheese,Meat,Eggs,Milk,Juice,,
Cheese,Meat,Eggs,Milk,,,
Cheese,Diaper,Meat,Juice,Bread,,
Juice,Milk,Diaper,Pencil,Cheese,Eggs,
Cheese,Eggs,Meat,Diaper,Juice,Milk,Bread
Diaper,Eggs,,,,,
Cheese,Meat,Eggs,Milk,Juice,,
Juice,Cheese,Bagel,Pencil,Bread,Meat,Diaper
Milk,Pencil,Cheese,Bagel,,,
Meat,Cheese,Diaper,Juice,,,
Bread,Bagel,Milk,,,,
Bread,Meat,Pencil,Milk,Juice,Diaper,
Pencil,Cheese,Diaper,Juice,Eggs,,
Bread,Diaper,Milk,Pencil,Cheese,Eggs,
Pencil,Milk,Cheese,,,,
Eggs,Bagel,Bread,,,,
Diaper,Bread,Cheese,Bagel,Meat,Pencil,
Bread,Bagel,Milk,Diaper,,,
Eggs,Bread,,,,,
Pencil,Milk,Diaper,Eggs,,,
Pencil,Milk,Meat,Cheese,,,
Bagel,Bread,Diaper,Cheese,Meat,,
Cheese,Meat,Eggs,Milk,,,
Cheese,Meat,Eggs,Milk,,,
Bread,Juice,Eggs,Bagel,Cheese,Pencil,Diaper
Diaper,,,,,,
Cheese,Meat,Eggs,Milk,,,
Milk,,,,,,
Bread,Pencil,,,,,
Juice,Milk,Cheese,,,,
Cheese,Bagel,,,,,
Pencil,Diaper,Juice,,,,
Eggs,Meat,Cheese,,,,
Meat,Bagel,Pencil,,,,
Meat,Eggs,Bagel,Cheese,Juice,,
Bread,Cheese,Juice,Bagel,Milk,Meat,
Meat,Cheese,Pencil,Juice,Bread,,
Milk,Cheese,Juice,Bagel,Meat,Pencil,Bread
Pencil,Cheese,Juice,Milk,Diaper,Bagel,
Bread,Bagel,Milk,,,,
Cheese,Meat,Eggs,Milk,,,
Cheese,Diaper,Pencil,Bagel,Juice,Meat,Eggs
Eggs,Meat,Juice,Bagel,Milk,Cheese,Diaper
Meat,,,,,,
Bread,Bagel,Milk,,,,
Pencil,,,,,,
Juice,Diaper,Bread,Cheese,,,
Bagel,Pencil,Juice,Meat,,,
Juice,Bread,,,,,
Bread,Milk,Eggs,Cheese,Juice,Pencil,
Cheese,Milk,Meat,Eggs,Bagel,,
Cheese,Meat,Eggs,Milk,,,
Diaper,Juice,Meat,Eggs,,,
Meat,Diaper,,,,,
Pencil,Juice,Bread,Milk,,,
Bagel,Bread,Eggs,Milk,Pencil,Meat,Juice
Milk,Cheese,Juice,Meat,Bagel,Diaper,Bread
Bagel,Diaper,Milk,Cheese,Juice,,
Bread,Bagel,Milk,,,,
Diaper,,,,,,
Bagel,Pencil,Bread,Cheese,Eggs,,
Bread,Eggs,Cheese,,,,
Meat,Milk,Pencil,,,,
Bread,Cheese,Eggs,Meat,Pencil,Diaper,Juice
Meat,Cheese,,,,,
Eggs,Juice,Bagel,Bread,Meat,,
Bagel,Cheese,,,,,
Bagel,Pencil,Diaper,Juice,Meat,,
Milk,Pencil,,,,,
Pencil,Juice,Bagel,Eggs,Diaper,,
Bread,Meat,Milk,Cheese,Juice,Eggs,Pencil
Bread,Bagel,Milk,,,,
Pencil,Bread,,,,,
Eggs,Milk,Bagel,Juice,,,
Cheese,Pencil,Meat,Eggs,Milk,Bagel,Juice
Cheese,Milk,,,,,
Diaper,Pencil,Milk,Bread,,,
Bread,Bagel,Milk,,,,
Cheese,Meat,Eggs,Milk,,,
Bread,Bagel,Milk,,,,
Diaper,,,,,,
Meat,Bread,Juice,Diaper,Bagel,,
Bagel,,,,,,
Juice,Diaper,,,,,
Meat,Diaper,Eggs,Cheese,Bagel,,
Bread,Pencil,Bagel,Eggs,,,
Milk,Eggs,Meat,Cheese,Bread,Juice,Pencil
Pencil,Eggs,Meat,,,,
Pencil,Bagel,,,,,
Bread,Bagel,Meat,Cheese,Eggs,Pencil,
Milk,Eggs,Bread,Cheese,,,
Milk,,,,,,
Pencil,Meat,Bread,Bagel,Cheese,,
Juice,Eggs,Bread,Diaper,,,
Meat,Cheese,Eggs,Bagel,Juice,Bread,
Meat,Cheese,Bread,Milk,,,
Cheese,Milk,Pencil,Eggs,Bread,Meat,
Bread,,,,,,
Bread,Eggs,Bagel,Diaper,Milk,Meat,Pencil
Milk,Diaper,,,,,
Cheese,Eggs,Meat,Juice,Bagel,Diaper,Bread
Diaper,Bagel,Bread,Pencil,Cheese,Milk,
Diaper,,,,,,
Cheese,Meat,Eggs,Milk,,,
Cheese,Juice,Meat,Bagel,,,
Cheese,Diaper,Eggs,Milk,,,
Juice,Cheese,Meat,Pencil,Eggs,,
Eggs,Bagel,Pencil,Juice,Cheese,,
Bagel,Diaper,,,,,
Meat,,,,,,
Bread,Eggs,Juice,,,,
Bread,Milk,Pencil,Juice,Eggs,Bagel,
Milk,Bread,Bagel,,,,
Bagel,Eggs,,,,,
Juice,Cheese,Milk,Meat,Bread,Eggs,
Meat,Juice,,,,,
Juice,Bread,,,,,
Meat,Eggs,,,,,
Bagel,Milk,Juice,Pencil,Cheese,,
Cheese,Meat,Eggs,Milk,,,
Bread,Diaper,Pencil,Bagel,Cheese,,
Bread,Pencil,Diaper,Cheese,,,
Cheese,Meat,Eggs,Milk,,,
Eggs,Bagel,Meat,Diaper,Pencil,Milk,Bread
Bread,Bagel,Milk,,,,
Diaper,Meat,Juice,Pencil,Bread,,
Eggs,Cheese,,,,,
Cheese,Pencil,Juice,,,,
Eggs,,,,,,
Pencil,Milk,Eggs,,,,
Bagel,Cheese,Eggs,Milk,Meat,Pencil,Bread
Bagel,Diaper,Pencil,Milk,Meat,,
Cheese,Meat,Eggs,Milk,,,
Cheese,Bread,Juice,,,,
Bread,Cheese,Milk,Diaper,Pencil,,
Milk,Pencil,Bagel,Juice,Eggs,Meat,
Juice,Milk,Eggs,Bread,Meat,,
Bread,,,,,,
Bread,Diaper,Pencil,Meat,Juice,,
Cheese,Pencil,,,,,
Bread,Diaper,,,,,
Bagel,Diaper,Juice,Bread,,,
Juice,Bread,Diaper,,,,
Bread,Bagel,Milk,,,,
Diaper,Bagel,,,,,
Bread,Meat,Pencil,Eggs,Cheese,Milk,Juice
Bread,Juice,Diaper,Eggs,Pencil,,
Bread,Juice,Diaper,Eggs,Pencil,,
Bread,Juice,Diaper,,,,
Bread,Juice,Diaper,Eggs,,,
Bread,Juice,Diaper,Eggs,Pencil,Milk,
Juice,Pencil,Eggs,Cheese,,,
Bagel,Bread,Milk,Pencil,Diaper,,
Bread,Diaper,Cheese,Milk,Juice,Eggs,
Bagel,Juice,Diaper,Meat,Pencil,Eggs,Cheese
Cheese,Meat,Eggs,Milk,Juice,,
Bagel,Eggs,Meat,Bread,Diaper,Juice,Milk
Bread,Diaper,Pencil,Bagel,Meat,,
Bagel,Cheese,Milk,Meat,,,
Bread,,,,,,
Pencil,Diaper,Bagel,,,,
Meat,Bagel,Bread,,,,
Bread,Bagel,Milk,,,,
Diaper,,,,,,
Bagel,Cheese,Meat,Bread,Diaper,Eggs,
Meat,Pencil,Cheese,Bread,,,
Cheese,Eggs,Juice,Bread,Milk,Pencil,Meat
Eggs,Bagel,Cheese,Meat,Diaper,,
Diaper,Juice,Eggs,Pencil,Meat,,
Diaper,Meat,Milk,Bread,Bagel,Cheese,
Pencil,,,,,,
Cheese,Meat,Eggs,Milk,Juice,,
Diaper,Meat,Bread,Pencil,Juice,Cheese,Milk
Bread,Bagel,,,,,
Meat,Bread,Eggs,Cheese,Milk,Diaper,
Diaper,Meat,,,,,
Cheese,Bagel,Bread,Diaper,Juice,,
Cheese,Milk,Bread,,,,
Bread,Bagel,Milk,,,,
Diaper,Bread,Juice,Meat,Bagel,,
Bread,Cheese,Milk,Juice,Diaper,,
Bread,Bagel,Milk,,,,
Bread,Bagel,Milk,,,,
Eggs,,,,,,
Bread,Bagel,Milk,,,,
Bread,Bagel,Milk,,,,
Meat,,,,,,
Eggs,Juice,Milk,Cheese,Pencil,Bagel,Bread
Bagel,Eggs,,,,,
Diaper,Juice,Meat,,,,
Diaper,Bread,Bagel,Eggs,Juice,Milk,Cheese
Cheese,Meat,Eggs,Milk,,,
Eggs,Juice,,,,,
Cheese,Meat,Eggs,Milk,Juice,,
Juice,Milk,,,,,
Diaper,,,,,,
Juice,Bread,Bagel,Diaper,Milk,,
Cheese,Meat,Eggs,Milk,Juice,,
Cheese,Meat,Eggs,Milk,,,
Cheese,Diaper,Meat,Juice,Bread,,
Juice,Milk,Diaper,Pencil,Cheese,Eggs,
Cheese,Eggs,Meat,Diaper,Juice,Milk,Bread
Diaper,Eggs,,,,,
Cheese,Meat,Eggs,Milk,Juice,,
Juice,Cheese,Bagel,Pencil,Bread,Meat,Diaper
Milk,Pencil,Cheese,Bagel,,,
Meat,Cheese,Diaper,Juice,,,
Bread,Bagel,Milk,,,,
Bread,Meat,Pencil,Milk,Juice,Diaper,
Pencil,Cheese,Diaper,Juice,Eggs,,
Bread,Diaper,Milk,Pencil,Cheese,Eggs,
Pencil,Milk,Cheese,,,,
Eggs,Bagel,Bread,,,,
Diaper,Bread,Cheese,Bagel,Meat,Pencil,
Bread,Bagel,Milk,Diaper,,,
Eggs,Bread,,,,,
Pencil,Milk,Diaper,Eggs,,,
Pencil,Milk,Meat,Cheese,,,
Bagel,Bread,Diaper,Cheese,Meat,,
Cheese,Meat,Eggs,Milk,,,
Cheese,Meat,Eggs,Milk,,,
Bread,Juice,Eggs,Bagel,Cheese,Pencil,Diaper
Diaper,,,,,,
Cheese,Meat,Eggs,Milk,,,
Milk,,,,,,
Bread,Pencil,,,,,
Juice,Milk,Cheese,,,,
Cheese,Bagel,,,,,
Pencil,Diaper,Juice,,,,
Eggs,Meat,Cheese,,,,
Meat,Bagel,Pencil,,,,
Meat,Eggs,Bagel,Cheese,Juice,,
Bread,Cheese,Juice,Bagel,Milk,Meat,
Meat,Cheese,Pencil,Juice,Bread,,
Milk,Cheese,Juice,Bagel,Meat,Pencil,Bread
Pencil,Cheese,Juice,Milk,Diaper,Bagel,
Bread,Bagel,Milk,,,,
Cheese,Meat,Eggs,Milk,,,
Cheese,Diaper,Pencil,Bagel,Juice,Meat,Eggs
Eggs,Meat,Juice,Bagel,Milk,Cheese,Diaper
Meat,,,,,,
Bread,Bagel,Milk,,,,
Pencil,,,,,,
Juice,Diaper,Bread,Cheese,,,
Bagel,Pencil,Juice,Meat,,,
Juice,Bread,,,,,
Bread,Milk,Eggs,Cheese,Juice,Pencil,
Cheese,Milk,Meat,Eggs,Bagel,,
Cheese,Meat,Eggs,Milk,,,
Diaper,Juice,Meat,Eggs,,,
Meat,Diaper,,,,,
Pencil,Juice,Bread,Milk,,,
Bagel,Bread,Eggs,Milk,Pencil,Meat,Juice
Milk,Cheese,Juice,Meat,Bagel,Diaper,Bread
Bagel,Diaper,Milk,Cheese,Juice,,
Bread,Bagel,Milk,,,,
Diaper,,,,,,
Bagel,Pencil,Bread,Cheese,Eggs,,
Bread,Eggs,Cheese,,,,
Meat,Milk,Pencil,,,,
Bread,Cheese,Eggs,Meat,Pencil,Diaper,Juice
Meat,Cheese,,,,,
Eggs,Juice,Bagel,Bread,Meat,,
